concept_name,display_count
beachball,1
bathrobe,1
taillight,1
knob,1
beanie,1
treadmill,1
beanbag,1
doily,1
souffle,1
humvee,1
hot-air_balloon,1
stew,1
cymbal,1
gravy,1
taxi,1
hyena,1
grasshopper,1
chaps,1
bongo,1
hat,1
kimono,1
hula_hoop,1
bag,1
tarantula,1
hatchet,1
quiche,1
applesauce,1
swab,1
doorknob,1
appetizer,1
bear,1
quesadilla,1
tortellini,1
hummus,1
honeypot,1
uniform,1
chainsaw,1
airbag,1
bok_choy,1
shuffleboard,1
ravioli,1
bed,1
tennis_ball,1
grapefruit,1
trowel,1
thermos,1
dessert,1
chipmunk,1
computer_screen,1
bassoon,1
cannonball,1
tuxedo,1
butterfly,1
button,1
snail,1
carriage,1
badger,1
skeleton,1
toilet_paper,1
backscratcher,1
tank,1
bracelet,1
coaster,1
baklava,1
mashed_potato,1
owl,1
mouse,1
vase,1
volleyball,1
cow,1
pocket_watch,1
missile,1
fire_alarm,1
crib,1
parrot,1
puffin,1
visor,1
gourd,1
margarita,1
mosquito,1
cot,1
banjo,1
flower,1
baseball,1
pinball,1
bread,1
bench,1
couch,1
crepe,1
baseball_glove,1
exhaust_pipe,1
beer,1
bassinet,1
cupcake,1
knitting_needle,1
mango,1
milkshake,1
fly,1
parfait,1
extinguisher,1
lawnmower,1
sea_urchin,1
bathtub,1
canvas,1
giraffe,1
cooker,1
doorknocker,1
album,1
leek,1
crow,1
wrap,1
kneepad,1
guitar,1
waffle,1
jeans,1
veil,1
kilt,1
blower,1
fishbowl,1
snake,1
odometer,1
enchilada,1
pumpkin,1
bow,1
lion,1
oatmeal,1
iguana,1
dough,1
